time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-19T16:55:14.500Z,36.5408,-98.9546,6.225,2.5,ml,,88,,0.33,us,us1000bz3a,2018-03-14T00:58:23.040Z,"25km ENE of Mooreland, Oklahoma",earthquake,1.6,3.6,,,reviewed,tul,tul
2017-12-19T15:47:46.800Z,36.1542,-97.669,4.5,3.2,ml,,26,,0.14,us,us1000bt3p,2018-03-14T00:58:23.040Z,"21km ENE of Hennessey, Oklahoma",earthquake,0.9,2.4,,,reviewed,tul,tul
2017-12-19T14:47:43.900Z,36.5349,-98.9616,5.993,2.8,ml,,125,,0.21,us,us1000bt30,2018-03-14T00:58:23.040Z,"24km ENE of Mooreland, Oklahoma",earthquake,2.5,6,,,reviewed,tul,tul
2017-12-19T14:33:03.800Z,34.9544,-97.8208,6.366,3,ml,,50,,0.47,us,us1000bt2p,2018-03-14T00:58:23.040Z,"9km E of Ninnekah, Oklahoma",earthquake,2,5.4,,,reviewed,tul,tul
2017-12-19T11:26:19.200Z,36.5457,-98.9637,5,3.8,mwr,,91,,0.49,us,us1000bt0b,2018-03-14T00:58:22.040Z,"24km ENE of Mooreland, Oklahoma",earthquake,2,3.3,0.048,41,reviewed,tul,us
2017-12-18T13:47:21.100Z,35.8904,-97.2816,5.755,3,ml,,54,,0.25,us,us2000c5ll,2018-03-14T00:58:22.040Z,"6km SSW of Langston, Oklahoma",earthquake,1.3,4.1,,,reviewed,tul,tul
2017-12-18T07:51:49.400Z,34.9558,-97.8237,7.216,2.5,ml,,64,,0.82,us,us2000c5iv,2018-03-14T00:58:21.040Z,"9km E of Ninnekah, Oklahoma",earthquake,1.3,5.3,,,reviewed,tul,tul
2017-12-18T03:45:00.500Z,36.4235,-96.9289,3.808,2.6,ml,,44,,0.21,us,us2000c5i7,2018-03-14T00:58:21.040Z,"14km NW of Pawnee, Oklahoma",earthquake,1.1,1.2,,,reviewed,tul,tul
2017-12-17T11:55:50.000Z,36.8183,-97.6128,5.932,2.6,ml,,54,,0.29,us,us2000c5e8,2018-03-14T00:58:21.040Z,"10km E of Medford, Oklahoma",earthquake,1.1,5.4,,,reviewed,tul,tul
2017-12-17T07:55:26.500Z,36.2221,-97.0449,5.412,2.5,ml,,21,,0.19,us,us2000c5df,2018-03-14T00:58:20.040Z,"11km N of Stillwater, Oklahoma",earthquake,0.8,1.8,,,reviewed,tul,tul
