API,Lat,Lon,WellTy,TotDep,FormName,ITDepth,IBDepth,Vol_2017,Vol_2016,Vol_2015,Vol_2014,Vol_2013,Vol_2012,Vol_2011,Pres_2017,Pres_2016,Pres_2015,Pres_2014,Pres_2013,Pres_2012,Pres_2011,2DCm,2DNC,2R,2RIn,2RSI,Arb,Bart,Booch,Bromide,Burgess,Calvin,Chase,Cisco,Clev,Crom,Deese,Dutcher,Gilcrease,Healdton,Hoxbar,Hunton,Layton,Loco,Morrow,Penn,Permian,Pont,Prue,Red,Simp,Skinner,Tatums,Viola,Wil,n_wells5,n_wells10,vol_wells5_2017,vol_wells10_2017,vol_wells5_2016,vol_wells10_2016,vol_wells5_2015,vol_wells10_2015,vol_wells5_2014,vol_wells10_2014,vol_wells5_2013,vol_wells10_2013,vol_wells5_2012,vol_wells10_2012,vol_wells5_2011,vol_wells10_2011,n_eq3_20,n_eq4_50
3501904526,34.351478,-97.44727,2RIn,5500.0,DEESE,2658.0,5450.0,961872.0,948253.0,917513.0,936877.0,949011.0,963182.0,945023.0,717.5,805.0,805.0,711.25,680.0,726.6666666666666,721.6666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,501,43900030.0,105108760.0,42984956.455,101770247.455,39131489.0,102339148.0,42978384.071,105936755.071,35772336.0,96821786.0,33466872.0,94665193.0,33146348.0,94639070.0,0,0
3501904528,34.347851,-97.44727,2RIn,5000.0,DEESE,2238.0,4188.0,504478.0,522378.0,513576.0,475169.0,485928.0,501412.0,511202.0,466.6666666666667,550.0,550.0,887.5,1000.0,1000.0,1000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,493,33512682.0,103483451.0,33049187.455,100416860.455,31938064.0,100797764.0,34040019.071,104138103.071,28104965.0,95124267.0,26835443.0,92799704.0,26318907.0,93062377.0,0,0
3501904530,34.346038,-97.4429,2RIn,1880.0,DEESE,2770.0,4390.0,271706.0,206884.0,322897.0,404309.0,281490.0,316256.0,316256.0,800.0,735.6666666666666,1046.1666666666667,1074.25,985.4166666666666,800.0,800.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,469,30383834.0,100155218.0,30433376.455,96543663.455,31341155.0,96179462.0,30881508.071000002,99550849.071,26362939.0,91301930.0,25537301.0,88239947.0,24874423.0,88634614.0,0,0
3501904531,34.344224,-97.4429,2RIn,5021.0,DEESE,3360.0,4232.0,307462.0,274791.0,216757.0,190670.0,152597.0,249656.0,134034.0,1000.0,1000.0,737.5833333333334,362.4166666666667,425.0,604.1666666666666,554.1666666666666,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,467,27987265.0,98940302.0,28389974.455,95291435.455,29669375.0,94996155.0,29753703.071000002,98358468.071,25257123.0,90112685.0,24721910.0,86962758.0,23912962.0,87349916.0,0,0
3501904533,34.346038,-97.44727,2RIn,4512.0,DEESE,2905.0,4028.0,248641.0,181855.0,253102.0,261469.0,200562.0,59467.0,59467.0,610.0,511.5,840.25,715.5,895.8333333333334,725.0,725.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,483,28406639.0,101860119.0,28852701.455,98594386.455,30056042.0,98625737.0,29651506.071000002,101874313.071,25200466.0,92902853.0,24926044.0,90377867.0,24322643.0,90698836.0,0,0
3501904536,34.342411,-97.4429,2RIn,4012.0,DEESE,3484.0,3669.0,331127.0,346641.0,320910.0,318623.0,269136.0,264171.0,264171.0,1550.0,1630.9166666666667,1652.1666666666667,1654.3333333333333,1587.5,1512.5,1595.8333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,464,26458258.0,98395873.0,26254969.455,94648702.455,28629735.0,94248022.0,27290532.071000002,97528058.071,23693525.0,88925919.0,23631444.0,86176576.0,22870403.0,86515908.0,0,0
3501904539,34.340597,-97.44727,2RIn,1286.0,DEESE,2186.0,2752.0,403416.0,279256.0,127469.0,174270.0,156640.0,169580.0,169580.0,1150.0,1412.5,952.0,1617.9166666666667,1566.6666666666667,1606.6666666666667,1700.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,470,23510680.0,99757983.0,23983624.099999998,96138381.455,25977979.0,95829936.0,24372058.071000002,99023134.071,21099886.0,90811401.0,21210200.0,88030105.0,20128533.0,88167059.0,0,0
3501904543,34.346037,-97.45164,2RIn,3316.0,DEESE,2010.0,2556.0,0.0,240863.0,330260.0,335553.0,263421.0,239073.0,239073.0,0.0,1060.0,1158.1666666666667,1104.75,1152.0833333333333,988.3333333333334,988.3333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,493,28357160.0,103031044.0,28640500.099999998,99874019.455,29961834.0,100372714.0,30044514.071000002,103699094.071,25632769.0,94692684.0,25489362.0,92349024.0,24866682.0,92438296.0,0,0
3501904553,34.340597,-97.45164,2RIn,4514.0,DEESE,2576.0,3114.0,184981.0,214543.0,230903.0,210980.0,165253.0,160497.0,160497.0,1650.0,1650.0,1688.1666666666667,1665.0833333333333,1606.25,1642.5,1642.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,473,22295025.0,99960587.0,22499466.0,96328701.455,24358072.0,96091254.0,23103417.071000002,99307495.071,19754586.0,91119483.0,19995392.0,88381996.0,18909142.0,88536491.0,0,0
3501904556,34.34241,-97.45601,2RIn,4920.0,DEESE,2851.0,4718.0,190975.0,203020.0,0.0,290590.0,257545.0,266452.0,266452.0,1400.0,1365.1666666666667,0.0,1597.25,1615.8333333333333,1450.0,1450.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,484,22831398.0,101560625.0,22904641.0,98144097.455,25039385.0,98419040.0,23639338.0,101458806.071,20177648.0,93523165.0,20572926.0,90653329.0,19448849.0,90739999.0,0,0
